己喊,唱捞,俊呈瘤(kcal),窜归龙(g),藕荐拳拱(g),寸幅(g),侥捞级蜡(g),瘤规(g),唱飘俘(mg),眉吝,脚厘,眉吝函拳,脚眉劝悼瘤荐
巢己,36,4486,264.22,351.68,92.58,12.2,121.85,7253,70.2,164.1,11.7,2
咯己,31,2577,47.56,350.79,179.27,20.3,114.81,3272,48.6,156.9,-8.1,4
咯己,29,2632,84.24,349.73,140.88,22.2,101.7,4804,68,168.6,7.25,2
巢己,27,2740,134.5,348.99,100.3,33,95.08,5681,71.5,177.9,1.75,3
巢己,21,2266,98.36,348.83,130.71,5.9,50.55,3791,95.4,172,18.9,3
巢己,22,2281,116.69,348.58,119.69,63.4,60.49,4960,81.1,169.5,5.5,2
咯己,24,2191,61.83,346.33,27.62,48.1,61.81,3157,66.5,170.8,12.5,3
巢己,25,2149,42.08,346.27,67.39,16.7,65.74,2618,39.2,136.5,5.45,2
咯己,35,2222,121.49,345.63,126.44,33.3,43.71,4894,43.1,159.3,-4.15,2
咯己,22,2328,75.2,345.3,158.37,9,73.16,4519,57.1,162,3.1,1
巢己,38,3467,117.87,345.25,125.73,18.6,139.81,6322,85.3,174.7,7.9,2
巢己,25,2541,118.86,344.11,60.13,22.2,76.49,5470,58.8,150.8,7.05,3
咯己,33,2302,71.1,343.08,95.3,32.6,48.11,6717,67.2,160.4,9.15,2
咯己,29,2257,50.6,342.63,187.88,26.5,83.77,2459,56.9,155.1,-1.15,2
咯己,27,2318,106.06,342.09,86.3,15.1,58.47,6303,50.8,161,5.8,3
咯己,23,2649,140.09,342.06,124.75,27.5,83.06,5292,62.8,156.3,-4.7,4
巢己,27,3299,104.37,341.61,111.23,28.2,141.58,5427,73.7,179.5,6.2,2
咯己,39,2755,189.5,339.61,88.73,13,66.76,9920,63.4,153.5,-0.95,2
巢己,32,1854,39.26,338.88,142.28,11.5,39.82,4165,78.2,173,1.7,4
巢己,25,3651,151.2,338.54,99.47,50.6,199.31,6408,69,174.8,6,1
咯己,31,3670,149.32,337.16,126.98,19.7,192.47,6615,71.5,155.7,1.75,1
咯己,30,2402,110.15,336.84,166.82,16.6,70.74,3453,64.4,157.2,8.15,3
巢己,22,2910,124.31,334.6,100.82,21.3,125.29,7705,56,159.6,8.75,4
巢己,34,2127,65.26,334.28,93.45,51.9,62.67,2905,81.1,161.8,0.1,2
巢己,39,2586,90.12,333.97,118.44,19.5,101.6,4419,83.2,174.8,-2.3,3
咯己,36,3173,119.26,333.23,128.88,17.2,152.57,5267,52.9,156.9,3.4,2
巢己,36,1938,41.2,332.85,130.39,23.8,49.71,3383,87.2,174.2,6.2,2
巢己,38,2673,103,331.02,102.84,35.4,108.39,5177,77.6,179,3.35,3
咯己,19,2282,72.4,328.74,185.16,20.6,79.95,2909,52,154.5,0.25,4
巢己,33,2426,96.25,327.36,53.86,20.2,70.63,7285,82.3,164.1,-7.7,3
巢己,24,3497,118.23,326.37,179.32,26.4,203.72,5553,90.5,181.3,-6.7,3
咯己,22,2623,108.03,326.21,133.12,34.7,109.89,3888,50.4,161.9,-1.35,3
巢己,26,1990,75.11,325.64,73.53,28,47.47,3245,68.2,171.4,-1.55,1
巢己,29,2541,98.24,325.5,110.21,28.4,100.29,4828,70,170.5,0.7,2
巢己,32,2523,95.78,323.52,163.93,17.7,99.81,4136,143.4,182,-0.15,2
巢己,27,3476,155.32,322.79,145.01,35.8,183.98,4928,86.2,184.2,11.95,4
巢己,33,2331,66.15,322.26,64.98,19.5,85.82,4200,83.3,179.5,1.85,3
巢己,32,3008,176.55,322.1,75.47,31.5,117.46,2956,68.3,170.6,0.8,3
巢己,28,3226,150.7,322.08,56.11,23.4,148.73,6602,106.7,173.5,0.95,3
咯己,34,2755,75.26,321.32,146.26,12.6,131.4,2975,42.3,150.6,1.8,3
巢己,23,2586,170.83,321.03,70.98,31.4,75.63,4817,60.3,166.4,-7.11E-15,3
咯己,28,2171,59.18,320.43,102.57,34,77.34,3104,68.3,158.4,-3.25,3
巢己,25,1962,76.43,320.26,107.65,34.9,44.62,3987,67.9,167.8,4.9,3
